Cluster File,GO Term,GO ID,P-Value
1,glutamine metabolic process,GO:0006541,0.049954541
1,glycine metabolic process,GO:0006544,0.049954541
1,threonine metabolic process,GO:0006566,0.049954541
1,gamma-aminobutyric acid metabolic process,GO:0009448,0.049954541
1,taurine metabolic process,GO:0019530,0.049954541
1,alkanesulfonate metabolic process,GO:0019694,0.049954541
1,glial cell development,GO:0021782,0.049954541
1,G1 to G0 transition,GO:0070314,0.049954541
1,Aplasia/Hypoplasia of the testes,HP:0010468,0.049960032
1,Atonic seizure,HP:0010819,0.049960032
1,Abdominal wall defect,HP:0010866,0.049960032
1,Abnormal fourth ventricle morphology,HP:0010950,0.049960032
1,Abnormal circulating serine family amino acid concentration,HP:0010894,0.049960032
1,Abnormal circulating glycine concentration,HP:0010895,0.049960032
1,Spinal dysraphism,HP:0010301,0.049960032
1,Abnormality of the umbilical cord,HP:0010881,0.049960032
1,Joint contracture of the hand,HP:0009473,0.049960032
1,Abnormality of the calcaneus,HP:0008364,0.049960032
1,Decreased testicular size,HP:0008734,0.049960032
1,Renal hypoplasia/aplasia,HP:0008678,0.049960032
1,Abnormal nasal dorsum morphology,HP:0011119,0.049960032
1,Deformed tarsal bones,HP:0008119,0.049960032
1,Generalized ichthyosis,HP:0007503,0.049960032
1,Abnormal choroid plexus morphology,HP:0007376,0.049960032
1,Developmental stagnation,HP:0007281,0.049960032
1,Cerebral dysmyelination,HP:0007266,0.049960032
1,Abnormal adipose tissue morphology,HP:0009124,0.049960032
1,Aplasia/Hypoplasia of the eyelid,HP:0011226,0.049960032
1,Congenital malformation of the great arteries,HP:0011603,0.049960032
1,Abnormal connection of the cardiac segments,HP:0011545,0.049960032
1,Sparse or absent eyelashes,HP:0200102,0.049960032
1,Long fingers,HP:0100807,0.049960032
1,Hernia,HP:0100790,0.049960032
1,Cerebral visual impairment,HP:0100704,0.049960032
1,Esophagitis,HP:0100633,0.049960032
1,Upper-limb joint contracture,HP:0100360,0.049960032
1,Abnormality of the testis size,HP:0045058,0.049960032
1,Neural tube defect,HP:0045005,0.049960032
1,Open neural tube defect,HP:0034237,0.049960032
1,Myoclonic seizure,HP:0032794,0.049960032
1,Generalized-onset motor seizure,HP:0032677,0.049960032
1,Swollen lip,HP:0031244,0.049960032
1,Inappropriate crying,HP:0030215,0.049960032
1,Flexion contracture of digit,HP:0030044,0.049960032
1,Abnormal placental size,HP:0012767,0.049960032
1,Cerebral white matter atrophy,HP:0012762,0.049960032
1,Camptodactyly,HP:0012385,0.049960032
1,Cerebral hypoplasia,HP:0006872,0.049960032
1,Abnormal ventriculoarterial connection,HP:0011563,0.049960032
1,Moderate global developmental delay,HP:0011343,0.049960032
1,Aplasia/Hypoplasia of the cerebellar vermis,HP:0006817,0.049960032
