Cluter File,GO Term,GO ID,P-Value
4,cell projection membrane,GO:0031253,0.049957933
5,carboxylic acid metabolic process,GO:0019752,0.027434191
5,organic acid metabolic process,GO:0006082,0.039610094
5,oxoacid metabolic process,GO:0043436,0.039610094
5,monocarboxylic acid metabolic process,GO:0032787,0.046097617
5,Neurodevelopmental abnormality,HP:0012759,0.005785635
5,Seizure,HP:0001250,0.025361102
5,Abnormality of higher mental function,HP:0011446,0.046678223
5,Intellectual disability,HP:0001249,0.049904676
5,Metabolism,REAC:R-MMU-1430728,0.016322863
6,IL-6 signaling pathway,WP:WP387,0.049833887
7,Hypoglycemia,HP:0001943,0.049960032
7,Elevated hepatic transaminase,HP:0002910,0.049960032
7,Abnormal blood glucose concentration,HP:0011015,0.049960032
7,Pain,HP:0012531,0.049960032
8,Abnormal cardiac test,HP:0500015,0.04995005
8,Vitreous floaters,HP:0100832,0.04995005
8,Erectile dysfunction,HP:0100639,0.04995005
8,Abnormal meningeal morphology,HP:0010651,0.04995005
8,Abnormal aortic valve physiology,HP:0031652,0.04995005
8,Impaired continence,HP:0031064,0.04995005
8,Impairment of activities of daily living,HP:0031058,0.04995005
8,Abnormal CSF protein concentration,HP:0025456,0.04995005
8,Abnormality of enteric nervous system morphology,HP:0025028,0.04995005
8,Abnormal autonomic nervous system morphology,HP:0012331,0.04995005
8,Male sexual dysfunction,HP:0040307,0.04995005
8,Urinary incontinence,HP:0000020,0.04995005
8,Abnormal vitreous humor morphology,HP:0004327,0.04995005
8,Impotence,HP:0000802,0.04995005
8,Hemiparesis,HP:0001269,0.04995005
8,Aortic valve stenosis,HP:0001650,0.04995005
8,Atrioventricular block,HP:0001678,0.04995005
8,Angina pectoris,HP:0001681,0.04995005
8,Abnormal left ventricle morphology,HP:0001711,0.04995005
8,Abnormality of vitamin B metabolism,HP:0004340,0.04995005
8,Left ventricular hypertrophy,HP:0001712,0.04995005
8,Restrictive cardiomyopathy,HP:0001723,0.04995005
8,Thromboembolism,HP:0001907,0.04995005
8,Abnormal thrombosis,HP:0001977,0.04995005
8,Abnormal cerebrospinal fluid morphology,HP:0002921,0.04995005
8,Increased CSF protein concentration,HP:0002922,0.04995005
8,Abnormal EKG,HP:0003115,0.04995005
8,Ventricular hypertrophy,HP:0001714,0.04995005
8,Abnormal atrioventricular conduction,HP:0005150,0.04995005
8,Retinoid metabolism and transport,REAC:R-MMU-975634,0.049563838
8,Metabolism of vitamins and cofactors,REAC:R-MMU-196854,0.049563838
8,Visual phototransduction,REAC:R-MMU-2187338,0.049563838
8,Sensory Perception,REAC:R-MMU-9709957,0.049563838
8,Metabolism of fat-soluble vitamins,REAC:R-MMU-6806667,0.049563838
8,The canonical retinoid cycle in rods (twilight vision),REAC:R-MMU-2453902,0.049563838
