Cluster File,GO Term,GO ID,P-Value
2,Ebstein anomaly of the tricuspid valve,HP:0010316,0.049711672
2,Left ventricular noncompaction cardiomyopathy,HP:0011664,0.049711672
2,Noncompaction cardiomyopathy,HP:0012817,0.049711672
3,Translation,REAC:R-MMU-72766,0.046915649
4,Failure to thrive in infancy,HP:0001531,0.04995005
4,Activation of NF-kappaB in B cells,REAC:R-MMU-1169091,0.049980008
4,G2/M Checkpoints,REAC:R-MMU-69481,0.049980008
4,DNA Replication,REAC:R-MMU-69306,0.049980008
4,"Cell Cycle, Mitotic",REAC:R-MMU-69278,0.049980008
4,G2/M Transition,REAC:R-MMU-69275,0.049980008
4,S Phase,REAC:R-MMU-69242,0.049980008
4,Synthesis of DNA,REAC:R-MMU-69239,0.049980008
4,G1/S Transition,REAC:R-MMU-69206,0.049980008
4,Cyclin E associated events during G1/S transition ,REAC:R-MMU-69202,0.049980008
4,Switching of origins to a post-replicative state,REAC:R-MMU-69052,0.049980008
4,CDK-mediated phosphorylation and removal of Cdc6,REAC:R-MMU-69017,0.049980008
4,DNA Replication Pre-Initiation,REAC:R-MMU-69002,0.049980008
4,Orc1 removal from chromatin,REAC:R-MMU-68949,0.049980008
4,M Phase,REAC:R-MMU-68886,0.049980008
4,Mitotic Anaphase,REAC:R-MMU-68882,0.049980008
4,Assembly of the pre-replicative complex,REAC:R-MMU-68867,0.049980008
4,Ub-specific processing proteases,REAC:R-MMU-5689880,0.049980008
4,UCH proteinases,REAC:R-MMU-5689603,0.049980008
4,Deubiquitination,REAC:R-MMU-5688426,0.049980008
4,MAPK6/MAPK4 signaling,REAC:R-MMU-5687128,0.049980008
4,MAPK1/MAPK3 signaling,REAC:R-MMU-5684996,0.049980008
4,MAPK family signaling cascades,REAC:R-MMU-5683057,0.049980008
4,Stabilization of p53,REAC:R-MMU-69541,0.049980008
4,NIK-->noncanonical NF-kB signaling,REAC:R-MMU-5676590,0.049980008
4,p53-Dependent G1 DNA Damage Response,REAC:R-MMU-69563,0.049980008
4,Ubiquitin Mediated Degradation of Phosphorylated Cdc25A,REAC:R-MMU-69601,0.049980008
4,Antigen processing: Ubiquitination & Proteasome degradation,REAC:R-MMU-983168,0.049980008
4,GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2,REAC:R-MMU-9762114,0.049980008
4,Nuclear events mediated by NFE2L2,REAC:R-MMU-9759194,0.049980008
4,KEAP1-NFE2L2 pathway,REAC:R-MMU-9755511,0.049980008
4,Interleukin-1 signaling,REAC:R-MMU-9020702,0.049980008
4,Neddylation,REAC:R-MMU-8951664,0.049980008
4,Regulation of PTEN stability and activity,REAC:R-MMU-8948751,0.049980008
4,Regulation of RUNX3 expression and activity,REAC:R-MMU-8941858,0.049980008
4,Regulation of RUNX2 expression and activity,REAC:R-MMU-8939902,0.049980008
4,RUNX1 regulates transcription of genes involved in differentiation of HSCs,REAC:R-MMU-8939236,0.049980008
4,Transcriptional regulation by RUNX1,REAC:R-MMU-8878171,0.049980008
4,Transcriptional regulation by RUNX2,REAC:R-MMU-8878166,0.049980008
4,Transcriptional regulation by RUNX3,REAC:R-MMU-8878159,0.049980008
4,FBXL7 down-regulates AURKA during mitotic entry and in early mitosis,REAC:R-MMU-8854050,0.049980008
4,The role of GTSE1 in G2/M progression after G2 checkpoint,REAC:R-MMU-8852276,0.049980008
4,Ubiquitin-dependent degradation of Cyclin D,REAC:R-MMU-75815,0.049980008
4,Cyclin A:Cdk2-associated events at S phase entry,REAC:R-MMU-69656,0.049980008
4,Cell Cycle Checkpoints,REAC:R-MMU-69620,0.049980008
4,G1/S DNA Damage Checkpoints,REAC:R-MMU-69615,0.049980008
4,p53-Independent G1/S DNA damage checkpoint,REAC:R-MMU-69613,0.049980008
4,p53-Independent DNA Damage Response,REAC:R-MMU-69610,0.049980008
4,p53-Dependent G1/S DNA damage checkpoint,REAC:R-MMU-69580,0.049980008
4,RAF/MAP kinase cascade,REAC:R-MMU-5673001,0.049980008
4,TNFR2 non-canonical NF-kB pathway,REAC:R-MMU-5668541,0.049980008
4,Class I MHC mediated antigen processing & presentation,REAC:R-MMU-983169,0.049980008
4,Separation of Sister Chromatids,REAC:R-MMU-2467813,0.049980008
4,Downstream TCR signaling,REAC:R-MMU-202424,0.049980008
