Cluster File,GO Term,GO ID,P-Value
3,cell projection membrane,GO:0031253,0.046703979
3,Abnormal cortical bone morphology,HP:0003103,0.049946366
3,Estrogen metabolism,WP:WP1264,0.049971183
8,mmu-miR-804,MIRNA:mmu-miR-804,0.0499002
8,mmu-miR-3096b-5p,MIRNA:mmu-miR-3096b-5p,0.0499002
8,mmu-miR-669e-5p,MIRNA:mmu-miR-669e-5p,0.0499002
8,mmu-miR-665-3p,MIRNA:mmu-miR-665-3p,0.0499002
8,mmu-miR-539-5p,MIRNA:mmu-miR-539-5p,0.0499002
8,mmu-miR-431-5p,MIRNA:mmu-miR-431-5p,0.0499002
8,mmu-miR-690,MIRNA:mmu-miR-690,0.0499002
8,Glucose metabolism,REAC:R-MMU-70326,0.049563838
8,Metabolism of carbohydrates,REAC:R-MMU-71387,0.049563838
8,Gluconeogenesis,REAC:R-MMU-70263,0.049563838
8,Glycolysis,REAC:R-MMU-70171,0.049563838
8,Oxidative stress and redox pathway,WP:WP4466,0.049937578
8,Selenium metabolism / selenoproteins,WP:WP108,0.049937578
8,Metapathway biotransformation,WP:WP1251,0.049937578
8,Selenium micronutrient network,WP:WP1272,0.049937578
8,Folic acid network,WP:WP1273,0.049937578
8,Glycolysis and gluconeogenesis,WP:WP157,0.049937578
8,Glutathione metabolism,WP:WP164,0.049937578
8,One-carbon metabolism and related pathways,WP:WP1770,0.049937578
8,Glutathione and one-carbon metabolism,WP:WP730,0.049937578
